General_Release date,General_Battery capacity (mAh),General_Removable battery,Display_Refresh Rate,Display_Screen size (inches),Hardware_RAM,Hardware_Internal storage,Hardware_Expandable storage,Connectivity_NFC,camera_1_megapixel,camera_2_megapixel,camera_3_megapixel,camera_4_megapixel,camera_5_megapixel,num_cameras,front_camera_1_megapixel,front_camera_2_megapixel,num_front_cameras,Network_SIM_1,Network_SIM_2,General_Price in India
2023.0,5000.0,No,90,6.5,8.0,256.0,Unknown,Unknown,50,5,2,0,0,3,13,0,1,Unknown,Unknown,19999.0
2024.0,5000.0,Unknown,90,6.56,4.0,64.0,Yes,Yes,50,0,0,0,0,1,5,0,1,Unknown,Unknown,8079.0
2024.0,5000.0,No,60,6.67,12.0,256.0,Yes,Unknown,50,0,0,0,0,1,16,0,1,5G,5G,20499.0
2023.0,5000.0,No,90,6.74,4.0,64.0,Unknown,Unknown,50,0,0,0,0,1,8,0,1,Unknown,Unknown,6299.0
2024.0,5000.0,Yes,120,6.67,8.0,256.0,Yes,Yes,50,2,0,0,0,2,16,0,1,5G,5G,20499.0
2022.0,5000.0,Unknown,90,6.6,6.0,128.0,Unknown,Unknown,13,0,0,0,0,1,8,0,1,4G,4G,5019.0
2024.0,5000.0,Unknown,120,6.67,8.0,256.0,Unknown,Unknown,50,2,0,0,0,2,16,0,1,Unknown,Unknown,14948.0
2022.0,5000.0,No,120,6.6,8.0,128.0,Yes,Yes,50,8,2,0,0,3,16,0,1,5G,4G,23999.0
2022.0,5000.0,Unknown,60,6.58,8.0,128.0,Yes,Unknown,50,2,2,0,0,3,16,0,1,5G,5G,17990.0
2023.0,5000.0,Unknown,120,6.74,16.0,256.0,Unknown,Unknown,50,8,2,0,0,3,0,0,1,Unknown,Unknown,30300.0
2023.0,4400.0,Unknown,120,7.6,12.0,1024.0,Unknown,Yes,50,12,10,0,0,3,10,4,2,5G,5G,164998.0
2023.0,4575.0,No,120,6.2,8.0,256.0,No,Unknown,50,12,0,0,0,2,11,0,1,Unknown,Unknown,39999.0
2024.0,5200.0,Unknown,60,6.7,12.0,512.0,Unknown,Unknown,50,8,0,0,0,2,32,0,1,Unknown,Unknown,24549.0
2024.0,5000.0,No,120,6.67,12.0,512.0,Unknown,Unknown,200,8,2,0,0,3,16,0,1,Unknown,Unknown,27999.0
2023.0,5000.0,No,120,6.6,8.0,256.0,Yes,Unknown,48,8,5,0,0,3,13,0,1,Unknown,Unknown,21999.0
2024.0,5500.0,No,120,6.7,8.0,256.0,Yes,Yes,50,8,0,0,0,2,16,0,1,5G,5G,22999.0
2023.0,5000.0,No,90,6.79,8.0,256.0,Unknown,Unknown,50,2,0,0,0,2,8,0,1,Unknown,Unknown,11499.0
2024.0,5030.0,No,120,6.79,8.0,128.0,Unknown,Unknown,108,2,0,0,0,2,13,0,1,5G,5G,13199.0
2024.0,4700.0,No,60,6.3,12.0,256.0,No,Yes,50,48,0,0,0,2,5,0,1,Unknown,Unknown,79999.0
2017.0,2000.0,Yes,60,2.4,0.5,4.0,Yes,Yes,2,0,0,0,0,1,3,0,1,Unknown,Unknown,4800.0
2023.0,5000.0,Unknown,120,6.7,16.0,256.0,Unknown,Unknown,50,8,2,0,0,3,16,0,1,Unknown,Unknown,28499.0
2023.0,4600.0,No,120,6.78,12.0,256.0,Unknown,Yes,50,8,2,0,0,3,50,0,1,Unknown,Unknown,31990.0
2023.0,5000.0,No,120,6.55,12.0,256.0,Unknown,Unknown,50,8,0,0,0,2,16,0,1,Unknown,Unknown,20903.0
2018.0,4230.0,Unknown,60,6.2,4.0,32.0,Yes,Unknown,13,2,0,0,0,2,8,0,1,4G,4G,8990.0
2024.0,5100.0,Unknown,120,6.67,8.0,256.0,Unknown,Unknown,32,2,0,0,0,2,8,0,1,Unknown,Unknown,12999.0
2024.0,5000.0,No,120,6.7,8.0,256.0,Unknown,Yes,50,8,2,0,0,3,50,0,1,Unknown,Unknown,20999.0
2017.0,2800.0,Yes,60,5.5,3.0,16.0,Yes,No,13,0,0,0,0,1,5,0,1,4G,4G,4399.0
2024.0,5000.0,No,60,6.78,12.0,256.0,Yes,Yes,108,2,0,0,0,3,8,0,1,5G,5G,13800.0
2020.0,5000.0,No,60,5.4,4.0,64.0,No,Yes,12,12,0,0,0,2,12,0,1,5G,5G,43999.0
2024.0,5000.0,Unknown,120,6.55,12.0,256.0,Yes,Yes,50,8,2,0,0,3,50,0,1,Unknown,Unknown,19027.0
2023.0,4500.0,Unknown,120,6.4,8.0,256.0,No,Yes,12,12,8,0,0,3,32,0,1,5G,5G,28996.0
2017.0,1750.0,No,60,4.0,1.0,8.0,Yes,No,5,0,0,0,0,1,2,0,1,4G,4G,2849.0
2024.0,5500.0,No,120,6.78,12.0,256.0,No,Unknown,50,8,0,0,0,2,50,0,1,5G,5G,31999.0
2024.0,5600.0,Unknown,120,6.8,12.0,256.0,Unknown,Yes,50,50,108,0,0,3,50,0,1,Unknown,Unknown,89998.0
2023.0,5000.0,Unknown,120,6.72,8.0,256.0,Unknown,Unknown,64,2,2,0,0,3,32,0,1,5G,5G,22999.0
2018.0,3700.0,No,60,6.41,10.0,256.0,No,Yes,16,20,0,0,0,2,16,0,1,4G,4G,44999.0
2024.0,5160.0,No,144,6.78,12.0,256.0,No,No,50,8,0,0,0,2,16,0,1,5G,5G,33999.0
